PlayerName,Points
Allen Iverson,2
Anthony Mason,2
George Lynch,2
Allen Iverson,4
Allen Iverson,7
Brian Grant,2
Allen Iverson,9
Brian Grant,4
Brian Grant,6
Jumaine Jones,2
Anthony Mason,4
Eric Snow,2
Tim Hardaway,3
Tim Hardaway,5
Alonzo Mourning,2
Allen Iverson,11
Alonzo Mourning,4
Eric Snow,4
Alonzo Mourning,6
Alonzo Mourning,8
Bruce Bowen,3
Alonzo Mourning,10
Anthony Carter,2
Rodney Buford,3
Bruce Bowen,6
Rodney Buford,5
Brian Grant,8
Rodney Buford,7
Aaron McKie,1
Allen Iverson,13
Tyrone Hill,2
Tyrone Hill,3
Dan Majerle,3
Bruce Bowen,8
Bruce Bowen,10
Eric Snow,6
Allen Iverson,14
Allen Iverson,15
Bruce Bowen,13
Tim Hardaway,7
Tyrone Hill,5
Allen Iverson,17
Allen Iverson,19
Anthony Mason,6
Tyrone Hill,7
Dan Majerle,5
Dikembe Mutombo,2
Brian Grant,10
Allen Iverson,20
Dikembe Mutombo,3
George Lynch,3
George Lynch,4
Alonzo Mourning,11
Allen Iverson,21
Allen Iverson,22
Anthony Mason,7
Allen Iverson,24
Eric Snow,8
Allen Iverson,25
Allen Iverson,26
Anthony Mason,9
Anthony Mason,10
Allen Iverson,29
Alonzo Mourning,13
Alonzo Mourning,14
Tyrone Hill,9
Allen Iverson,30
Anthony Carter,4
Allen Iverson,33
Allen Iverson,34
Alonzo Mourning,16
Allen Iverson,37
Tim Hardaway,8
Tim Hardaway,9
Anthony Mason,12
Aaron McKie,3
Brian Grant,12
Allen Iverson,39
Brian Grant,13
Brian Grant,14
Anthony Mason,14
Aaron McKie,5
Alonzo Mourning,18
Allen Iverson,41
Alonzo Mourning,20
Anthony Mason,16
Dikembe Mutombo,5
Tim Hardaway,11
Patrick Ewing,2
Shareef Abdur-Rahim,2
Gary Payton,2
Michael Dickerson,2
Othella Harrington,2
Ruben Patterson,2
Patrick Ewing,4
Bryant Reeves,2
Rashard Lewis,2
Bryant Reeves,3
Bryant Reeves,4
Ruben Patterson,4
Bryant Reeves,6
Bryant Reeves,7
Patrick Ewing,5
Patrick Ewing,6
Mike Bibby,3
Othella Harrington,3
Rashard Lewis,4
Bryant Reeves,9
Rashard Lewis,6
Gary Payton,4
Michael Dickerson,4
Ruben Patterson,6
Mike Bibby,5
Patrick Ewing,7
Gary Payton,6
Damon Jones,3
Michael Dickerson,6
Mike Bibby,7
Desmond Mason,2
Bryant Reeves,11
Jelani McCoy,2
Desmond Mason,4
Brent Barry,3
Stromile Swift,1
Jelani McCoy,4
Mike Bibby,9
Desmond Mason,5
Desmond Mason,6
Mike Bibby,11
Mike Bibby,13
Vin Baker,2
Gary Payton,9
Desmond Mason,8
Gary Payton,10
Bryant Reeves,13
Gary Payton,12
Gary Payton,15
Jelani McCoy,6
Vin Baker,3
Shareef Abdur-Rahim,3
Ruben Patterson,8
Othella Harrington,5
Michael Dickerson,8
Ruben Patterson,10
Shareef Abdur-Rahim,4
Shareef Abdur-Rahim,5
Ruben Patterson,12
Bryant Reeves,15
Patrick Ewing,8
Othella Harrington,7
Mike Bibby,15
Emanual Davis,2
Gary Payton,17
Michael Dickerson,11
Rashard Lewis,9
Bryant Reeves,17
Rashard Lewis,12
Bryant Reeves,19
Patrick Ewing,9
Patrick Ewing,10
Bryant Reeves,21
Jelani McCoy,8
Shareef Abdur-Rahim,7
Shareef Abdur-Rahim,9
Patrick Ewing,11
Patrick Ewing,12
Mike Bibby,17
Shareef Abdur-Rahim,11
Rashard Lewis,14
Michael Dickerson,14
Ruben Patterson,14
Michael Dickerson,16
Mike Bibby,19
Ruben Patterson,16
Bryant Reeves,22
Bryant Reeves,23
Ruben Patterson,18
Ruben Patterson,20
Brent Barry,6
Mike Bibby,21
Kevin Edwards,2
Desmond Mason,10
Desmond Mason,12
Michael Dickerson,18
Michael Dickerson,19
Desmond Mason,14
Vin Baker,5
Vin Baker,6
Bryant Reeves,25
